851;IBRAHIMOVIC;A;6.00;5.50;Inter;0;0
853;INZAGHI S.;A;0.00;0.00;Lazio;0;0
855;IZCO;A;5.00;5.00;Catania;0;0
856;JEDA;A;6.50;6.50;Cagliari;0;0
858;KONAN;A;5.00;5.00;Lecce;0;0
860;LANZAFAME;A;5.50;5.50;Palermo;0;0
862;LAVEZZI;A;7.50;7.50;Napoli;0;0
863;LAZZARI;A;6.50;6.50;Cagliari;0;0
864;MACCARONE;A;6.00;6.00;Siena;0;0
867;MARAZZINA;A;5.50;5.50;Bologna;0;0
869;MARTINEZ J.;A;5.00;5.00;Catania;0;0
870;MASCARA;A;6.00;9.00;Catania;1;0
872;MATRI;A;6.00;6.00;Cagliari;0;0
873;MICCOLI;A;6.50;6.50;Palermo;0;0
874;MONTELLA;A;0.00;0.00;Roma;0;0
877;MUTU;A;7.50;13.50;Fiorentina;2;0
879;OBINNA;A;5.50;5.50;Inter;0;0
883;PANDEV;A;6.00;6.00;Lazio;0;0
884;PAOLUCCI;A;6.00;6.00;Catania;0;0
887;PATO;A;6.00;6.00;Milan;0;0
888;PAZZINI;A;0.00;0.00;Fiorentina;0;0
889;PELLISSIER;A;5.00;5.00;Chievo;0;0
890;PEPE;A;7.00;8.00;Udinese;0;1
894;QUAGLIARELLA;A;0.00;0.00;Udinese;0;0
896;RONALDINHO;A;5.00;5.00;Milan;0;0
898;SANCHEZ;A;0.00;0.00;Udinese;0;0
903;TIRIBOCCHI;A;5.50;5.00;Lecce;0;0
904;TOTTI;A;5.50;8.00;Roma;1;0
906;VENTOLA;A;0.00;0.00;Torino;0;0
908;VUCINIC;A;5.00;4.50;Roma;0;0
909;ZALAYETA;A;0.00;0.00;Napoli;0;0
910;ZARATE;A;7.00;7.00;Lazio;0;0
911;CORRADI;A;6.50;12.00;Reggina;2;0
912;CASTILLO;A;5.50;5.50;Lecce;0;0
921;BIANCHI;A;5.00;5.00;Torino;0;0
923;DIEGO MILITO;A;7.00;7.00;Genoa;0;0
