508;ARIATTI;Luca;C;LECCE
509;BAIOCCO;Davide;C;CATANIA
510;BARILLA';Antonino;C;REGGINA
511;BARONE;Simone;C;TORINO
512;BARONIO;Roberto;C;LAZIO
513;BARRETO;Edgar;C;REGGINA
514;BARUSSO;Ahmed Apimah;C;SIENA
515;BENTIVOGLIO;Simone;C;CHIEVO
516;BIAGIANTI;Marco;C;CATANIA
517;BIONDINI;Davide;C;CAGLIARI
518;BLASI;Manuele;C;NAPOLI
519;BOGLIACINO;Mariano;C;NAPOLI
520;BOLZONI;Francesco;C;INTER
521;BOMBARDINI;Davide;C;BOLOGNA
522;BOTTONE;Davide;C;
523;BOUDIANSKI;Viktor;C;UDINESE
524;BRESCIANO;Mark;C;PALERMO
525;BRIENZA;Franco;C;REGGINA
526;BRIGHI;Matteo;C;ROMA
527;BROCCHI;Christian;C;LAZIO
528;CAETANO;Prosperi;C;SIENA
529;CAMBIASSO;Esteban Matias;C;INTER
530;CAMORANESI;Mauro German;C;JUVENTUS
531;CARBONI;Ezequiel;C;CATANIA
532;CARMONA;Carlos Emilio;C;REGGINA
533;CARRUS;Davide;C;BOLOGNA
534;CASCIONE;Emmanuel;C;REGGINA
535;CASERTA;Fabio;C;LECCE
536;CIARAMITARO;Maurizio;C;PALERMO
537;CIGARINI;Luca;C;ATALANTA
538;CODREA;Paul Constantin;C;SIENA
539;COELHO;Dyego Rocha;C;BOLOGNA
540;COLUCCI;Giuseppe;C;CATANIA
541;CONFALONE;Simone;C;BOLOGNA
542;CONTI;Daniele;C;CAGLIARI
543;COPPOLA;Manuel;C;SIENA
544;CORINI;Eugenio;C;TORINO
545;COSSU;Andrea;C;CAGLIARI
546;COTZA;Enrico;C;CAGLIARI
547;COZZA;Francesco;C;REGGINA
548;DABO;Ousmane;C;LAZIO
549;DACOURT;Olivier;C;INTER
550;D'AGOSTINO;Antonino;C;ATALANTA
551;D'AGOSTINO;Gaetano;C;UDINESE
552;DALLA BONA;Samuele;C;NAPOLI
553;D'ANNA;Emanuele;C;CHIEVO
554;DE ASCENTIS;Diego;C;ATALANTA
555;DE MARTINO;Raffaele;C;
556;DE ROSSI;Daniele;C;ROMA
557;DE SILVESTRI;Lorenzo;C;LAZIO
558;DE ZERBI;Roberto;C;NAPOLI
559;DEFENDI;MARINO;C;ATALANTA
560;DELVECCHIO;Gennaro;C;SAMPDORIA
561;DESSENA;Daniele;C;SAMPDORIA
562;DI GENNARO;Davide;C;GENOA
563;DI MATTEO;Luca;C;PALERMO
564;DIANA;Aimo Stefano;C;TORINO
565;DIARRA;Drissa;C;
566;DONADEL;Marco;C;FIORENTINA
567;DONI;Cristiano;C;ATALANTA
568;EDUSEI;Mark;C;CATANIA
569;EKDAL;Albin;C;JUVENTUS
570;EMERSON;Ferreira;C;MILAN
571;ERAMO;Mirko;C;SAMPDORIA
572;EREMENKO;Roman;C;
573;FABIANO;Lima Rodrigues;C;REGGINA
574;FABIANO;Medina da Silva;C;LECCE
575;FELIPE MELO;de Carvalho;C;FIORENTINA
576;FELTSCHER;Frank;C;LECCE
577;FERREIRA PINTO;Adriano;C;ATALANTA
578;FIGO;Luis;C;INTER
579;FINI;Michele;C;CAGLIARI
580;FIRMANI;Fabio;C;LAZIO
581;FLAMINI;Mathieu;C;MILAN
582;FOGGIA;Pasquale;C;LAZIO
583;FRANCESCHINI;Daniele;C;SAMPDORIA
584;GALLOPPA;Daniele;C;SIENA
585;GARGANO;Walter;C;NAPOLI
586;GASBARRONI;Andrea;C;GENOA
587;GATTUSO;Gennaro Ivan;C;MILAN
588;GIACOMAZZI;Guillermo;C;LECCE
589;GIOVINCO;Sebastian;C;JUVENTUS
590;GOBBI;Massimo;C;FIORENTINA
591;GRELLA;Vincenzo;C;
592;GUADALUPI;Mirko;C;
593;GUANA;Roberto;C;PALERMO
594;GUARENTE;Tiberio;C;ATALANTA
595;HALLFREDSSON;Emil;C;REGGINA
596;HAMSIK;Marek;C;NAPOLI
597;INLER;Gokan;C;UDINESE
598;ISLA;Mauricio;C;UDINESE
599;ITALIANO;Vincenzo;C;CHIEVO
600;JANKOVIC;Bosko;C;PALERMO
601;JAROLIM;Lukas;C;SIENA
602;JIMENEZ;Luis;C;INTER
603;JORGENSEN;Martin;C;FIORENTINA
604;JOVETIC;Stevan;C;FIORENTINA
605;JURIC;Ivan;C;GENOA
606;KAKA';Ricardo Izecson Santos Leite;C;MILAN
607;KHARJA;Houssine;C;SIENA
608;KOLAROV;Aleksandar;C;LAZIO
609;KOMAN;Vladimir;C;
610;KUZMANOVIC;Zdravko;C;FIORENTINA
611;LAVECCHIA;Luigi;C;BOLOGNA
612;LEDESMA;Cristian;C;LAZIO
613;LEDESMA;Pablo Martin;C;CATANIA
614;LICHTSTEINER;Stephan;C;LAZIO
615;LIVERANI;Fabio;C;PALERMO
616;LUCIANO;Siqueira de Oliveira;C;CHIEVO
617;MAGGIO;Christian;C;NAPOLI
618;MANCINI;Amantino;C;INTER
619;MANCINI;Manuel;C;SIENA
620;MANFREDINI;Christian Josè;C;LAZIO
621;MANNINI;Daniele;C;NAPOLI
