578;FIGO Luis;C;5.00;5.00;INT;0;0;
579;FINI Michele;C;6.50;6.50;CAG;0;0;
581;FLAMINI Mathieu;C;6.50;6.50;MIL;0;0;
582;FOGGIA Pasquale;C;7.00;8.00;LAZ;0;1;
584;GALLOPPA Daniele;C;7.50;8.00;SIE;0;1;
586;GASBARRONI Andrea;C;5.50;5.50;TOR;0;0;
589;GIOVINCO Sebastian;C;6.50;6.50;JUV;0;0;
593;GUANA Roberto;C;5.50;5.00;PAL;0;0;
594;GUARENTE Tiberio;C;7.00;7.00;ATA;0;0;
596;HAMSIK Marek;C;5.50;5.50;NAP;0;0;
597;INLER Gokan;C;6.50;6.50;UDI;0;0;
599;ITALIANO Vincenzo;C;6.00;5.50;CHI;0;0;
600;JANKOVIC Bosko;C;5.00;5.00;GEN;0;0;
601;JAROLIM Lukas;C;6.50;9.50;SIE;1;0;
603;JORGENSEN Martin;C;6.00;6.00;FIO;0;0;
605;JURIC Ivan;C;6.00;6.00;GEN;0;0;
607;KHARJA Houssine;C;6.50;7.50;SIE;0;1;
608;KOLAROV Aleksandar;C;6.00;6.00;LAZ;0;0;
612;LEDESMA Cristian;C;6.50;6.50;LAZ;0;0;
613;LEDESMA Pablo Martin;C;5.50;5.50;CAT;0;0;
614;LICHTSTEINER Stephan;C;6.00;6.00;LAZ;0;0;
615;LIVERANI Fabio;C;6.50;6.50;PAL;0;0;
617;MAGGIO Christian;C;6.00;6.00;NAP;0;0;
618;MANCINI Amantino;C;6.00;5.50;INT;0;0;
624;MARCHISIO Claudio;C;6.50;6.00;JUV;0;0;
625;MARCOLINI Michele;C;6.50;6.50;CHI;0;0;
627;MATUZALEM Francelino;C;6.00;6.00;LAZ;0;0;
628;MAURI Stefano;C;6.00;6.00;LAZ;0;0;
630;MESTO Giandomenico;C;0.00;0.00;GEN;0;0;
639;MONTOLIVO Riccardo;C;4.50;4.50;FIO;0;0;
640;MUDINGAYI Gaby;C;6.50;6.50;BOL;0;0;
641;MUNARI Gianni;C;5.50;5.50;LEC;0;0;
642;MUNTARI Sulley;C;6.00;6.00;INT;0;0;
643;MUTARELLI Massimo;C;5.00;5.00;BOL;0;0;
644;NEDVED Pavel;C;6.50;6.50;JUV;0;0;
645;NOCERINO Antonio;C;6.50;6.50;PAL;0;0;
647;OLIVERA Ruben;C;5.50;5.50;GEN;0;0;
649;PADOIN Simone;C;6.00;6.00;ATA;0;0;
650;PALLADINO Raffaele;C;5.50;5.50;GEN;0;0;
653;PAROLA Andrea;C;6.00;6.00;CAG;0;0;
654;PAZIENZA Michele;C;5.00;5.00;NAP;0;0;
657;PINZI Giampiero;C;6.50;6.00;CHI;0;0;
658;PIRLO Andrea;C;5.00;5.00;MIL;0;0;
659;PIZARRO David Marcelo Cortes;C;5.50;5.50;ROM;0;0;
661;POULSEN Christian;C;5.50;5.50;JUV;0;0;
666;ROSINA Alessandro;C;5.00;5.00;TOR;0;0;
667;ROSSI Marco;C;5.50;5.50;GEN;0;0;
668;SALIHAMIDZIC Hasan;C;6.00;6.00;JUV;0;0;
669;SAMMARCO Paolo;C;6.00;6.00;SAM;0;0;
671;SAUMEL Jurgen;C;6.00;6.00;TOR;0;0;
672;SCULLI Giuseppe;C;5.50;5.50;GEN;0;0;
674;SEMIOLI Franco;C;5.00;5.00;FIO;0;0;
675;SIMPLICIO Fabio Henrique;C;7.50;10.50;PAL;1;0;
677;SISSOKO Mohamed;C;0.00;0.00;JUV;0;0;
678;STANKOVIC Dejan;C;6.50;7.50;INT;0;1;
679;TADDEI Rodrigo;C;6.00;6.00;ROM;0;0;
680;TEDESCO Giacomo;C;6.00;6.00;CAT;0;0;
681;TEDESCO Giovanni;C;0.00;0.00;PAL;0;0;
686;VALDES Jaime Andres Zapata;C;5.50;5.50;ATA;0;0;
687;VALIANI Francesco;C;0.00;0.00;BOL;0;0;
688;VERGASSOLA Simone;C;6.00;6.00;SIE;0;0;
691;VIVES Giuseppe;C;5.00;5.00;LEC;0;0;
692;VOLPI Sergio;C;6.00;6.00;BOL;0;0;
693;ZANCHETTA Andrea;C;5.00;5.00;LEC;0;0;
695;ZANETTI Javier Aldemar;C;7.50;7.50;INT;0;0;
697;ZIEGLER Reto;C;5.50;5.50;SAM;0;0;
