551;Dessena;C;SAM
566;Filippini A.;C;LIV
607;Madonna;C;ATA
625;Migliaccio;C;PAL
640;Olivera;C;GEN
648;Parravicini;C;SIE
667;Rossi M.;C;GEN
686;Valdes;C;ATA
691;Vieira;C;INT
692;Vigiani;C;BOL
696;Zanetti C.;C;JUV
700;Antonelli F.;C;BAR
701;Allegretti;C;BAR
709;Iori;C;CHI
514;Bergvold;C;LIV
519;Blasi;C;NAP
527;Budel;C;PAR
544;Dabo;C;LAZ
579;Gobbi;C;FIO
580;Guana;C;BOL
585;Isla;C;UDI
626;Milanetto;C;GEN
629;Modesto;C;GEN
636;Mutarelli;C;BOL
657;Poulsen;C;JUV
684;Tiago;C;JUV
685;Tissone;C;SAM
703;Koman;C;BAR
540;Coppola;C;PAR
547;Datolo;C;NAP
552;Di Gennaro;C;MIL
590;Jorgensen;C;FIO
605;Luciano;C;CHI
618;Masiello S.;C;BAR
650;Pazienza;C;NAP
661;Raimondi;C;LIV
688;Vanden Borre;C;GEN
702;Kamata;C;BAR
502;Almiron;C;JUV
507;Ariatti;C;CHI
512;Barusso;C;ROM
520;Bogliacino;C;NAP
542;Correa;C;LAZ
556;Donda;C;BAR
567;Filippini E.;C;LIV
577;Genevier;C;SIE
586;Izco;C;CAT
606;Lunardini;C;PAR
610;Manfredini;C;LAZ
622;Meghni;C;LAZ
630;Montervino;C;NAP
632;Morosini;C;UDI
634;Mudingayi;C;BOL
638;Obodo;C;UDI
645;Paro;C;BAR
646;Parola;C;CAG
654;Pisanu;C;PAR
656;Poli;C;SAM
663;Rivas;C;BAR
671;Sciacca;C;CAT
682;Tedesco Gio.;C;PAL
558;Ekdal;C;SIE
559;El Shaarawi;C;GEN
565;Filipe;C;SIE
587;Jajalo;C;SIE
589;Jarolim;C;SIE
603;Llama;C;CAT
619;Matute;C;UDI
664;Romero;C;UDI
677;Sivakov;C;CAG
708;Brkljaca;C;CAG
505;Amodio;C;NAP
509;Baronio;C;LAZ
521;Bolzoni;C;GEN
553;Di Tacchio;C;FIO
562;Faty;C;ROM
569;Firmani;C;LAZ
597;Lavecchia;C;BOL
612;Manzoni;C;PAR
627;Millesi;C;CAT
660;Raggio Garibaldi;C;GEN
665;Rosi;C;ROM
666;Rossi F.;C;JUV
678;Soriano;C;SAM
705;Radovanovic;C;ATA
706;Layun;C;ATA
909;Eto'o;A;INT
841;Gilardino;A;FIO
870;Milito;A;INT
885;Pato;A;MIL
872;Mutu;A;FIO
805;Amauri;A;JUV
818;Cassano;A;SAM
901;Totti;A;ROM
830;Del Piero;A;JUV
832;Di Natale;A;UDI
833;Di Vaio;A;BOL
891;Quagliarella;A;NAP
886;Pazzini;A;SAM
802;Acquafresca;A;ATA
907;Zarate;A;LAZ
837;Floccari;A;GEN
857;Lavezzi;A;NAP
822;Cavani;A;PAL
880;Pandev;A;LAZ
895;Ronaldinho;A;MIL
905;Vucinic;A;ROM
808;Balotelli;A;INT
887;Pellissier;A;CHI
899;Tavano;A;LIV
869;Miccoli;A;PAL
834;Diamanti;A;LIV
838;Floro Flores;A;UDI
846;Iaquinta;A;JUV
849;Inzaghi F.;A;MIL
852;Jeda;A;CAG
809;Baptista;A;ROM
915;Huntelaar;A;MIL
810;Barreto;A;BAR
864;Mascara;A;CAT
873;Nene';A;CAG
878;Palacio;A;GEN
902;Trezeguet;A;JUV
871;Morimoto;A;CAT
879;Paloschi;A;PAR
859;Maccarone;A;SIE
894;Rocchi;A;LAZ
913;Cruz;A;LAZ
814;Borriello;A;MIL
816;Calaio';A;SIE
827;Crespo;A;GEN
858;Lucarelli;A;LIV
867;Meggiorini;A;BAR
888;Pepe;A;UDI
910;Hoffer;A;NAP
911;Bojinov;A;PAR
842;Granoche;A;CHI
863;Martinez;A;CAT
865;Matri;A;CAG
881;Paolucci;A;SIE
896;Sanchez;A;UDI
900;Tiribocchi;A;ATA
826;Corradi;A;UDI
831;Denis;A;NAP
840;Ghezzal;A;SIE
845;Hernandez;A;PAL
877;Osvaldo;A;BOL
819;Castillo;A;FIO
898;Succi;A;PAL
903;Vantaggiato;A;PAR
807;Arnautovic;A;INT
813;Bogdani;A;CHI
876;Orellana;A;UDI
893;Reginaldo;A;SIE
897;Suazo;A;INT
811;Bellucci;A;SAM
815;Budan;A;PAL
862;Marilungo;A;SAM
866;Mchedlidze;A;PAL
890;Plasmati;A;CAT
916;Ricchiuti;A;CAT
817;Caruso;A;UDI
861;Marazzina;A;BOL
828;Danilevicius;A;LIV
889;Pia';A;NAP
803;Adailton;A;BOL
855;Kutuzov;A;BAR
874;Obinna;A;INT
906;Zalayeta;A;NAP
883;Papa Waigo;A;FIO
884;Paponi;A;PAR
829;Del Nero;A;LAZ
839;Gasparetto;A;CHI
850;Inzaghi S.;A;LAZ
856;Larrivey;A;CAG
882;Paonessa;A;BOL
912;Corvia;A;SIE
917;Sforzini;A;BAR
804;Alemao;A;UDI
823;Cellerino;A;LIV
825;Colombo;A;BAR
835;Esposito Mau.;A;ROM
836;Figueroa;A;GEN
843;Greco;A;BAR
844;Hanine;A;CHI
848;Ighalo;A;UDI
851;Iunco;A;CHI
853;Kerlon;A;INT
860;Makinwa;A;LAZ
875;Okaka;A;ROM
892;Ragatzu;A;CAG
801;Acosty;A;FIO
806;Antenucci;A;CAT
812;Beretta;A;MIL
820;Catellani;A;CAT
821;Cavalli;A;BAR
854;Kozak;A;LAZ
868;Mendicino;A;LAZ
904;Viudez;A;MIL
908;Zigoni;A;MIL
914;Tiboni;A;ATA
